Column1,Manual.summary,Classification Joaquin,Classification Rui,Classification Ed,Average_Classification
10,"ECB  Executive Board member  Fabio Panetta  has signalled that although there will be further interest rate increases, the  central bank  is not far from the end of the monetary policy tightening cycle, reports Bloomberg.",1,1,0,0.6666666666666666
11,"AllianzGI Global Head of Bond Investments Franck Dixmier anticipates that the  ECB  will increase interest rates by 25 basis points at its meeting on Thursday, 14 September, despite the slowdown in the euro area economy, as underlying inflation remains too high. ""The  ECB , having raised interest rates by a total of 425 basis points (bp) since July 2022, is no longer on autopilot. It now has two options: pause or continue to limit monetary conditions,"" he added. Mr Dixmier noted that growth and inflation forecasts would be announced at the September meeting, but an upward revision of the inflation outlook is expected. Another factor causing concern for the  central bank  is that the market's confidence in its ability to achieve its objectives is gradually fading, with inflation expectations slightly deviating. According tovMr Dixmier, the time is right to continue tightening monetary conditions, and  ECB  President  Christine Lagarde  is expected to announce another 25 basis points rate hike at the September meeting.",1,1,1,1.0
12,"In an interview with Irish broadcaster RTE on Saturday,  ECB  Chief Economist Philip Lane said that the  central bank  will raise interest rates “several” more times. Citing his institution’s projections, Mr Lane noted that a mild recession in the euro area cannot be ruled out. In September, the  ECB  tightened policy by a historic 75 basis points and Deutsche Bundesbank President  Joachim Nagel  said earlier on Saturday that borrowing costs will need to increase a lot more to get inflation under control.",1,1,1,1.0
13,"On 18 January, new signals on monetary policy and analyst ratings weighed heavily on real estate values. After the  central banks ' interest rate turnaround caused the sector to collapse last year, it began to recover in October but now that growth is faltering. Recent  ECB  officials' statements were the reason. For example,  ECB  Governing Council Member  FranÃ§ois Villeroy de Galhau  dismissed market speculation about a possible interest rate hike of only 0.25 percentage points in March. Moreover, he confirmed that  ECB  President  Christine Lagarde 's comments on future interest rate increases by 0.5 percentage points are still valid.Â ",1,1,0,0.6666666666666666
14,"On 18 November,  ECB  President  Christine Lagarde  pointed out that the risk of a recession in the euro area had increased. She recalled that a recession was unlikely to significantly reduce inflation in a context of uncertainty. Meanwhile, Banca d'Italia Governor  Ignazio Visco  pointed out that the need to continue with the restrictive monetary policy was evident, although the reasons for following a less aggressive approach were gaining ground. For his part, Banco de España Governor  Pablo Hernández de Cos  recognised that the  ECB  must think about the possibility of a recession. On 15 December, the members of the  ECB  Governing Council will decide whether to carry out the measure.",1,1,1,1.0
15,"Lietuvos bankas Chairman of the Board  Gediminas Šimkus  has stated that the market's expectations of an upcoming interest rate reduction by the  ECB  are overly optimistic. According to him, a positive change in price growth is necessary for a swift reduction in interest rates. Although there was some positive news regarding price growth, the macroeconomic projections of the  ECB  did not indicate a significant change in the medium-term outlook. The  ECB 's Governing Council decided not to change the three main interest rates, which will remain at 4%, 4.5%, and 4.75% respectively.  ECB  President  Christine Lagarde  confirmed that the Governing Council did not discuss reducing interest rates at all, and she warned that monetary policymakers should remain vigilant in the fight against inflation.",1,1,0,0.6666666666666666
16,"Part of the excessive delay in starting up many public investments is explained by the greater care and greater demand that now exists in the application of project financing compared to what happened in the past, argued Banco de Portugal Governor  Mario Centeno  in a debate held on 25 May in Lisbon. Mr Centeno insisted that it is necessary to speed up the implementation of funds, but urged caution not to make some serious mistakes. He pointed out that Portugal ended up paying for roads where citizens will never walk, and for stadiums that are empty, and that is public investment. On the panel were Mr Centeno, Banco de España Governor  Pablo Hernandez de Cos , EIB Vice-President Ricardo Mourinho Félix, and EIB Chief Economist Débora Revoltella.",0,0,0,0.0
17,"Tracker mortgages in Ireland have seen a significant increase in costs over the past year following the rate hikes by the  ECB . The average tracker mortgage has risen from 1.15% to 5.15%, resulting in a 20% increase in repayments.  ECB  President  Christine Lagarde  emphasised that further rate hikes are likely as the bank aims to reach its inflation target of 2% or less. The US, UK, Canadian, Australian, and New Zealand  central banks  have also implemented rate hikes. Borrowers with tracker mortgages are encouraged to explore fixed-rate options to potentially reduce their repayments, with rates as low as 3.63% available. Switching activity has declined, but mortgage experts advise homeowners to review their options to secure more favourable rates.",1,1,1,1.0
18,"ECB  President  Christine Lagarde  has signalled that the  central bank  will be ""decisive"" in its actions, which will allow it to respond appropriately to inflation threats, but also help financial markets in the event of emerging dangers.",1,1,1,1.0
19,"Mortgage holders are anticipating a potential tenth consecutive interest rate increase by the  ECB  amidst concerns about inflation. The  ECB 's decision hinges on the speed at which inflation retreats, with updated projections for the euro area's economic outlook through 2025 being a crucial factor. Money markets favour another increase with two-in-three odds.  Policymakers including Banco de Portugal Governor  Mário Centeno  fret that another rise in borrowing costs would imperil  Europe 's struggling economy. Others, such as Národná banka Slovenska Governor  Peter Kažimír , reckon inflation would not return to the 2% target without a further move.  ECB  President  Christine Lagarde  will provide more clarity in a press briefing following the announcement.",1,1,1,1.0
20,"The wait for US macro data kept the  European  stock exchanges frozen, with little movement in the early hours of Thursday's session. Investors were also waiting for the words of  ECB  President  Christine Lagarde . Speaking from Frankfurt, Ms Lagarde gave no indications on monetary policy. She did, however, say that the financial system has managed to avoid serious systemic risks. Meanwhile, in the United States, further rate hikes seem to be ruled out, although the Federal Reserve, according to some observers, would not be in a hurry to proceed with cuts.",0,0,0,0.0
21,"In an opinion article, journalist Ana Sá Lopes comments on the  ECB 's monetary policy. The author recalls that  EU  member states have defined in the  European  treaties that the  ECB  is independent and does not have to answer to anyone. She adds that there has been criticism of the course of monetary policy from the Portuguese Prime Minister, President and parties. Ms Sá Lopes stresses that while the  ECB  is pursuing a policy aimed at cutting wages, Portuguese banks have seen an opportunity to profit from rising interest rates.",0,-1,0,-0.3333333333333333
22,"Banque de France Governor  FranÃ§ois Villeroy de Galhau  expects the  ECB  to raise interest rates further in the coming months in its fight against high inflation. ""In 2023, new interest rate hikes at a pragmatic pace will very likely be necessary in the coming months to bring inflation towards 2%,"" Mr Villeroy de Galhau told the French Senate's Finance Committee on 11 January. In a presentation for a conference in Vienna on the same day, Oesterreichische Nationalbank Governor  Robert Holzmann  said that the  ECB  must raise interest rates significantly further to reach a sufficiently restrictive level. That was necessary to achieve a timely return of inflation to the  ECB 's medium-term target. Mr Holzmann does expect inflation in the euro area to weaken. However, due to a high level of uncertainty, risks remained on the upside, he said. Meanwhile,  ECB  President  Christine Lagarde  has held out the prospect of further interest rate hikes. Ms Lagarde has signalled that increases of half a percentage point each would probably also be on the agenda at the upcoming meetings.",1,1,1,1.0
23,"On 15 December, after the  ECB  moderated its tightening pace to a 50 basis point hike as expected,  ECB  President  Christine Lagarde  upped her inflation-fighting tone and pledged that further “significant” hikes are coming. Ms Lagarde dispelled any unclarity by saying that the  central bank  would continue to raise interest rates significantly and steadily “for a long period of time”, without suggesting how high they could go. She also explained that despite the  ECB , US Federal Reserve and Bank of England all raising rates by 50 basis points simultaneously, they are not changing strategy at the same time. While the other  central banks  have hinted at slowing the tightening pace, Ms Lagarde emphasised that the  ECB  is “not changing direction”.",1,1,1,1.0
24,"According to  ECB  President  Christine Lagarde , the wage increase will require constant monitoring by the  central bank .",0,1,1,0.6666666666666666
25,"In an interview, UK journalist Paul Mason argues that during the Greek financial crisis, he and others considered  ECB  President  Christine Lagarde  and former  ECB  President Mario Draghi enemies of progress because of their support of austerity measures. However, today they are regarded as essential allies. Mr Mason asserts that the current threat of fascism could be undermined through a new Washington Consensus on Social Justice, supported by Ms Lagarde, US President Joe Biden and  European  Commission President Ursula von der Leyen. ",0,0,0,0.0
26,"During the press conference after the  ECB  Governing Council monetary policy meeting, President  Christine Lagarde  said that interest rate hikes in July would probably continue as the target has not yet been reached. Consequently, a pause is not being considered.",1,1,1,1.0
27,"On Thursday, the  ECB  raised its interest rates by 50 basis points. The decision comes at a time of maximum stress for the financial markets. Until a few days ago, the 50 basis point increase, anticipated by its President  Christine Lagarde  at the last Governing Council meeting, was taken for granted. The Governing Council, however, confirmed it is closely monitoring the ongoing tensions in the markets, adding that it is ready to intervene where necessary to preserve price stability and financial stability in the euro area. It also emphasises that the euro area banking sector is resilient, with solid capital and liquidity positions. Regarding the next steps, there are no direct hints but reliance on data policy. For Altaf Kassam of State Street Global Advisors, it is a concession to the rapid tightening of financial conditions that appears to be the suspension of  forward guidance  in favour of a data-dependent approach at individual meetings.",1,1,0,0.6666666666666666
28,"While headline inflation in the euro area has decreased to 5.3% in July,  ECB  hardliners, including Deutsche Bundesbank President  Joachim Nagel  and De Nederlandsche Bank President  Klaas Knot , advocate waiting for core inflation to significantly drop from its current 5.5% before halting interest rate hikes, a commentary reads. However, focusing on core inflation might be misleading, as it tends to trail headline inflation. Additionally, headline inflation better reflects consumer expectations, influencing future price trends. With a record-high deposit rate and economic fragility,  ECB  President  Christine Lagarde 's commitment to data-dependence suggests that considering the right indicators is crucial to avoid unintended economic repercussions.",1,1,1,1.0
29,"In a commentary about inflation and the efforts to address it, columnist Agis Veroutis notes that Milton Friedman used to say in the 1970s that the only way to reduce inflation is by cost-cutting measures of the state. Mr Veroutis notes that Mr Friedman knew what he was talking about, contrary to Deutsche Bundesbank President  Joachim Nagel .Â  The increase of rates by itself is not enough to address inflation, Mr Veroutis claims. The  ECB  raised the rates by another 50 base points, adversely affecting those who have a hard time servicing their debts and are unable to consume. Those with a backup will continue spending. It looks like Germany and the satellite countries to address inflation by exporting austerity to the other euro area's member states, the commentator notes. One cannot go out of the moving sand by just pulling the strings of shoes, he adds. The inflation will not drop unless the euro area countries cut expenses, he underlines.",-1,1,-1,-0.3333333333333333
30,"Interest rates are relatively high and will probably remain so for some time despite falling inflation. Deutsche Bundesbank President  Joachim Nagel  told ZDF that it is too early to think about rate cuts. He believes that inflation might reach the  ECB 's target in 2025, which is ""the good news"". As for the German economy, it must now address structural issues such as demography, digitalisation and decarbonisation. ""We now have to roll up our sleeves and tackle the issue. And then I'm not worried about the German economy,"" says Mr Nagel.",1,1,1,1.0
31,"On 1 December, Banco de España Governor  Pablo Hernández de Cos  put the cost of inflation for the Spanish economy at around three GDP points in 2022 as a whole, which is around EUR 40 billion that Spain has to pay more abroad due to the increase in the cost of goods that it does not produce. According to data from the quarterly central balance sheet, which takes information from around 1,000 companies, companies were not able to pass on all the cost increases they had due to the rise in energy and raw material prices. Intermediate costs soared by more than 50% until September, and the margin on sales fell compared to 2021.",1,0,0,0.3333333333333333
32,"According to the minutes of the  ECB 's latest meeting, published on Thursday, some  ECB  Governing Board Members would have preferred a more aggressive interest rate rise than the 25bp hike announced in June due to the risk of persistently high inflation in the euro area. There was a broad consensus in favour of the 25 basis point rate hike proposed by  ECB  Chief Economist Philip Lane, but a preference was also initially expressed for a 50 basis point increase in the key  ECB  interest rates, given the risk that high inflation would become more persistent. At the press conference following the  ECB  Governing Council meeting,  ECB  President  Christine Lagarde  stated that it was very likely that the  ECB  would raise rates again in July. ",1,1,1,1.0
33,"On 4 May, the  ECB  Governing Council raised key interest rates in the euro area by 0.25 percentage points. After the monetary policy meeting,  ECB  President  Christine Lagarde  pointed out that the euro-area  central bankers  were not pausing their tightening course. All  ECB  Governing Council members were determined to fight high inflation, Ms Lagarde underlined. ""There will be one or two more steps in the euro area, then a pause,"" DekaBank Chief Economist Ulrich Kater suggested.  ECB  Chief Economist Philip Lane recently emphasised that euro-area inflation had been above the  central bank 's target since mid-2021. Mr Lane warned that the more prolonged inflation stayed too high, the greater the risk that euro-area citizens would lose confidence in the  ECB 's ability to return to its 2% target. The  ECB 's rate hikes are unlikely to be over ""because prices in the euro area are still too high,"" Association of German Banks Chief Executive Heiner Herkenhoff warned. ""The longer inflation remains at this level, the more drastic the burdens will be for citizens, companies and economic development,"" Mr Herkenhoff stressed. Finally, the  ECB  also decided not to reinvest the maturing bonds purchased under the APP from July onwards.",1,1,1,1.0
34,"Just over a month ago, the  ECB  published an analysis of the budgetary impact of the measures adopted by the euro area member states to deal with the economic effects of the invasion of Ukraine. According to the authors' calculations, only 12% of these tax cuts and spending increases benefit vulnerable households; and less than 2% will directly contribute to the ecological transition. The probability that the need for compensatory measures extends to 2023 means that these measures will have to be altered. The increase in interest rates by the  ECB  may be a particularly painful and not very efficient medicine against the spiking prices since their origin is not an overheating of the  European  economy. More measures are needed: specifically, a reform of the energy price fixation mechanisms and an income pact.",-1,-1,-1,-1.0
35,"Banque de France Governor and  ECB  Governing Council member  François Villeroy de Galhau  has once again declared that the  ECB  has ended increasing interest rates. In his words, the decision to hike interest rates fully played the role of a cure for the disease that is inflation. Therefore, unless there are new shocks, there will be no further increase in rates. The issue of reduction may arise in 2024, but not now, he added.",-1,-1,-1,-1.0
36,Oesterreichische Nationalbank Governor  Robert Holzmann  told the Austrian public broadcaster ORF on Sunday that the  ECB  may have to accept a moderate recession to stem price pressures if it sees signals that inflation expectations are rising. He added that hopefully that will not be necessary and the size of the next hike will depend on developments in the economic outlook.  ECB  President  Christine Lagarde  has promised to raise interest rates for as long as it takes to return inflation to the 2% target.,1,1,1,1.0
37,"The proposal to cap gas prices in the  European  Union ( EU ), which divides member states, has put the  ECB  on alert.  ECB  President  Christine Lagarde  fears an increase in market volatility, with a risk to the financial stability of the euro area. On Friday, the  ECB  warned that the cap could increase volatility and cause margin calls to soar, i.e. the amounts that market operators have to block to guarantee their transactions, at the risk of not having enough liquidity. It could even undermine the ability of central counterparties (in regulated markets) to manage financial risks. The  ECB 's criticism comes as the  EU  member states struggle to agree on the  European  Commission's proposal. It will be on the agenda of a new meeting of energy ministers on Tuesday.",0,0,0,0.0
38,"The  ECB  decided to maintain interest rates at 4.5% for the fourth consecutive month on Thursday despite the economic weakness in the euro area.  ECB  President  Christine Lagarde  highlighted the good progress in the disinflation process but said more evidence was needed. Inflation fell by 0.2 percentage points in February to 2.6%, while underlying inflation contracted to 3.1%, according to Eurostat data. These figures are beginning to approach the  ECB 's 2% target. The  ECB 's new forecasts confirm the downward trend in inflation and economic growth weakness. Therefore, the  central bank  lowered its average inflation forecasts for the euro area to 2.3% in 2024 and 2% in 2025 while maintaining it at 1.9% for 2026.",1,1,1,1.0
39,"In a lecture at the Frankfurt School of Finance and Management, Banca d'Italia Governor  Ignazio Visco  emphasised the need for the  ECB  to decide on the speed of future rate increases based on data and their effect on inflation forecasts.  ECB  President  Christine Lagarde  and Chief Economist Philip Lane have also recently addressed data's relevance.Â Mr Visco recognised the importance of tightening the monetary policy stance to prevent a temporary increase in inflation caused by supply shocks from becoming a persistent problem fueled by demand-related factors. However, unlike Deutsche Bundesbank President  Joachim Nagel ,  Mr Visco did not indicate that further significant rate hikes would be necessary beyond March. Instead, he advised exercising caution.Â Mr Visco reiterated that it is essential for the  ECB  to continue balancing the risks of doing too little with those of excessive tightening that would lead to significant repercussions for economic activity, financial stability and medium-term price development.",0,1,1,0.6666666666666666
40,"Italy is heading for a conflict with the  EU  over the implementation of the  European  reconstruction  programme . Several ministers in the new government are calling for both an increase in funding, although Italy is already the biggest beneficiary of the  programme  with a total of EUR 191.5 billion, and longer deadlines for implementation. The situation is being observed very closely in the  ECB , and at times with some concern. The euro guardians fear that the reform process in the third largest euro economy will come to a standstill or that progress will even be reversed. Only on Monday did  ECB  President  Christine Lagarde  warn in the  European  Parliament that Italy had to push through the reforms that are required in return for the  EU  funds. ""It's a great opportunity to demonstrate that from the fiscal and structural standpoint, there can be a strong determination to pull Italy into that improved economic situation going forward,"" Ms Lagarde said. The  ECB  is also concerned that new turbulence in Italy could affect the normalisation of monetary policy envisaged because of record inflation. Not least with a view to Italy, the  ECB  Governing Council launched the new bond purchase  programme  Transmission Protection Instrument (TPI) to counteract excessive yield differences. If it were activated, however, there could again be controversial debates among the euro  central bankers .",0,0,1,0.3333333333333333
41,ECB  Executive Board Member  Fabio Panetta  is sceptical about further interest rate increases in the euro area. Mr Panetta believes the  ECB  has already entered the phase of declining inflation rates.,-1,-1,-1,-1.0
42,"At a Riksbank conference held on 10 January, US Federal Reserve Chair Jerome Powell argued that the  central bank  would not become a climate policymaker or get involved in matters beyond its jurisdiction. Meanwhile,  ECB  Executive Board Member  Isabel Schnabel  asserted that the  ECB  needed to adjust its policy approach to become more climate-friendly by moving from a flow-based to a stock-based tilting bond portfolio approach.  ECB  Governing Council Member  Pierre Wunsch  contested her comments and asserted that the fight against climate change should be left to the governments. Moreover, Bank of Japan Governor Haruhiko Kuroda shared this scepticism, adding that climate-centred policies must remain within  central banks ' mandates. Bank of England Governor Andrew Bailey also had a hawkish stance.Â ",0,0,0,0.0
43,"The  European  Commission last week approved the latest state aid scheme to assist businesses in Ireland, this time with energy costs during the winter months. In interviews in this newspaper, Finance Minister Paschal Donohoe and  Central Bank  of Ireland Governor  Gabriel Makhlouf  warn that the era of government support for businesses must come to an end. “We cannot continue with Covid-era responses to every economic difficulty the country might encounter — because if we do that, we’ll create our own crisis and our own difficulty,” Mr Donohoe said. Mr Makhlouf also urges caution over expectations that the government should continue to support struggling businesses. Not every business succeeds, he points out — firms quite naturally close. Resources using those firms then move to more productive uses. “From an economic perspective — and from the perspective of the entire community as a whole — that is a good thing,” he stressed.",-1,-1,-1,-1.0
44,"Angela Merkel has been awarded the highest distinction of the state of North Rhine-Westphalia in Cologne. Minister President Hendrik Wüst and the entire regional government congratulated Ms Merkel. In his speech, Mr Wüst recalled the banking crisis, the euro crisis, how Ms Merkel dealt with the refugees and also the coronavirus pandemic.  ECB  President  Christine Lagarde  also gave a laudatory speech in which she emphasised the role of Chancellor Adenauer and Charles de Gaulle for the reconciliation between France and Germany and also the nucleus of the  European  project.",0,0,0,0.0
45,"The  ECB  is not quite done with its interest rate hikes, but it is not far from the final target,  ECB  Executive Board member  Fabio Panetta  said in an interview with French daily Le Monde. ""I think that now is not the time to act too quickly because we have already come a long way,"" Mr Panetta said. With inflation slowing but still very high, the  ECB  is expected to raise rates again by a quarter point each in June and July. According to Mr Panetta, inflation is too high, but there is no reason for concern. Monetary tightening will be felt in the coming months, he pointed out. The possibility that domestic demand will remain weak and that this will translate into continued economic weakness or even a technical recession in the euro area cannot be ruled out, he noted.",1,1,1,1.0
46,"In a guest contribution, PIMCO Portfolio Manager Konstantin Veit argues that underlying price pressures in the euro area remain persistent. Mr Veit expects the  ECB  to raise interest rates by 50 basis points in February and March, with a possible switch to 25 basis points in May. The  ECB  Governing Council will most likely make it clear that tightening policy may be warranted for a longer period than the market currently expects. He points out that the  ECB  remains concerned about wage dynamics, fiscal policy and market-based financing conditions, and if the resilience continues, it may have to tighten policy even more. Furthermore, the  ECB  has limited room to think about trade-offs between QT and policy rates, which means QT will likely be a fairly mechanical background  programme . In his view, no market-moving surprises are expected in the details for the reduction of APP holdings. He concludes that  ECB  Executive Board Member  Isabel Schnabel 's recent speech indicated the  ECB  intends to institutionalise the current excess liquidity framework rather than reintroduce the benchmark allocation system from before the global financial crisis.",1,1,1,1.0
47,"The  ECB  delivered another 75 basis points interest hike on 27 October.  ECB  President  Christine Lagarde  said at a news conference in Frankfurt during the day that inflation remained too high and would stay above its target for an extended period. She added that the  central bank ’s policy stance was aimed at weakening the forces pushing up demand and at guarding against the risk of inflation expectations persistently shifting higher. However, the  ECB  provided few details about the path of rate hikes. Ms Lagarde said the  central bank  had made ''substantial'' progress in withdrawing easy money from the euro area, and the number and magnitude of upcoming moves would be determined by data at each policy meeting. The  ECB  also announced it was changing the terms of the loans it offered to banks during the Covid-19 pandemic to reflect its tighter monetary policy stance. ",1,1,1,1.0
48,"An analysis writes that the  ECB ’s pausing monetary tightening after the May interest rate hike might have seemed natural considering that the  central bank  has raised rates by the most in its history, the euro area economy is barely growing and banks are turning off the credit taps. However, euro area inflation is still high.  ECB  President  Christine Lagarde  said after last week’s rate hike that the  central bank  had more ground to cover in monetary tightening. She added that rates were not yet “sufficiently restrictive” to return inflation to the 2% target. Pictet Wealth Management Head of Macroeconomic Research Frederik Ducrozet said he expected the  ECB  to raise rates 25 basis points in June and possibly in July depending on developments in the US banking system. Yet, Ms Lagarde dismissed the notion that the  ECB  was dependent on the US Federal Reserve’s decisions. ",1,1,1,1.0
49,"The PMI for the overall economy in Germany fell surprisingly sharply in June by 3.1 points to 50.8, signalling the weakest economic growth in four months. The barometer is now only just above the growth threshold of 50 points. This fits in with the fact that more and more bond investors are betting on a deep recession. ""The signals cannot be ignored that the  central banks  are prepared to raise interest rates to a level at which something could go bust or at least a more severe economic slump will follow,"" said Commerzbank investment strategist Christoph Rieger. The  ECB  began its series of monetary tightening measures last summer and recently completed its eighth consecutive rate hike. It is likely to follow suit in July. According to Deutsche Bundesbank President  Joachim Nagel , interest rates could possibly rise even after the summer break. In his view, it would be a cardinal mistake to end the fight against high inflation too early. In view of the escalating inflation, it was also right that the  ECB  had slowed down economic development with its tighter course. Industry in Germany, the largest economy in the euro area, has long since gone into reverse gear: ""In manufacturing, all signs point to a recession in the second quarter, while a slowdown in growth is noticeable in the service sector,"" said Chief Economist Cyrus de la Rubia of Hamburg Commercial Bank, which sponsored the survey.",1,1,1,1.0
50,"On Wednesday, Banco de Portugal Governor  Mário Centeno  responded emphatically to questions from journalists regarding his analysis of the Portuguese economy at the beginning of September, highlighting that the analysis is part of a principle of ""being closer"" established over the last three years at Banco de Portugal. Mr Centeno also added that his analysis presented the challenges facing the national economy.",0,0,0,0.0
51,"Markets have interpreted the  ECB 's interest rate message as relatively dovish despite the 75 basis point interest rate hike, with a shift away from an exclusive focus on inflation, the Barclays rate strategist team has said.  ECB  President  Christine Lagarde  mentioned three factors in particular that will be crucial to the future path of rates: the inflation outlook, the extent of recession risks and the magnitude of the tightening already in place and the lag of its transmission to the real economy, the strategists noted. ""Overall, this represents a significant shift from the single focus on inflation at the September meeting"", they commented. ",-1,-1,-1,-1.0
52,"In an interview with Bloomberg TV, Banco Santander President Ana Botín stated that the recent collapses of medium-sized banks in the US and Credit Suisse in  Europe  do not signify a systemic crisis and emphasised that the current situation differs from the 2008 financial crisis. Ms Botín highlighted that global banks now have higher capital levels, and the risks have shifted away from the banking system. She predicted that interest rates would remain stable or potentially increase, as  central banks  have limited options to control inflation and prevent a recession. In a separate statement,  ECB  Vice-President  Luis de Guindos  acknowledged the stability of the non-bank financial sector in the  EU , including funds and insurance companies, despite recent turbulence.",1,1,0,0.6666666666666666
53,"The Supervisory Board of the  ECB  will meet on 17 March in Frankfurt for an extraordinary meeting to analyse the turbulence in  Europe 's financial markets. The meeting comes after the institution assured that it is prepared to offer all the necessary liquidity to the markets if necessary. The Supervisory Board is meeting to exchange views and update members on recent events in the banking sector, says a spokesman for the  central bank .",0,0,0,0.0
